RISK,N_LAT,N_LON,C_MTCH_TYP
03AR66006326,34.201556,-92.045294,FS
03AR66006919,35.815855,-90.71101,FS
03AR66007051,35.275367,-93.131674,FS
03AR66007430,35.094635,-92.444125,FS
03AR66008740,34.832369,-92.387412,FS
03AR66009315,36.301395,-94.17592,FS
03AR66009684,35.418232,-94.386584,FS
03AR99002236,35.085113,-92.45438,FS
03AR99006026,34.744864,-92.406162,FS
03AR99009541,34.885376,-92.399697,FS
03AR99010460,36.182129,-94.514766,FS
03AR99010764,34.753332,-92.367647,FS
03AR99011463,35.930376,-89.875387,FS
03AR99011975,36.156405,-94.118146,FS
03AR99012312,35.38889,-94.402293,FS
03AR99012816,36.223434,-93.081879,FS
03AR99013557,35.436719,-94.352983,FS
03AR99014441,35.282462,-93.095463,FS
03AR99014868,35.072947,-92.440348,FS
03AR99014994,36.045096,-90.520733,FS
03AR99015421,35.213065,-94.255047,FS
03AR99016318,35.524577,-94.220551,FS
03AR99016854,33.266503,-93.228569,FS
03AR99017462,34.191098,-92.186054,FS
